Stop_ID,FIPS,mix_x,max_x,min_y,max_y
1_19500,530330071001003,-122.368402,-122.361946,47.622128,47.626633
1_2480,530330069004002,-122.370331,-122.368966,47.637757,47.639595
1_18050,530330032006041,-122.401101,-122.398349,47.672146,47.672977
1_65680,530330247022006,-122.178764,-122.175775,47.542015,47.545761
1_2490,530330059004033,-122.370304,-122.369501,47.639595,47.640764
1_5730,530330017021007,-122.356756,-122.355397,47.699648,47.701466
1_18041,530330032006029,-122.401077,-122.398377,47.674281,47.674848
1_18040,530330032007008,-122.399786,-122.398374,47.676992,47.678211
1_4280,530330067003016,-122.346269,-122.344939,47.629746,47.631408
1_48245,530330109002103,-122.333236,-122.329621,47.543886,47.544913
1_27810,530330005001000,-122.374376,-122.360931,47.726978,47.734145
1_18030,530330032007002,-122.400532,-122.398382,47.678675,47.679424
1_60190,530330258031011,-122.169995,-122.168611,47.448644,47.450167
1_16490,530330045001009,-122.31844,-122.317382,47.664936,47.667112
1_5710,530330017021000,-122.356863,-122.355446,47.704357,47.705082
1_50370,530330287002000,-122.323429,-122.320257,47.413921,47.416041
1_8540,530330090002017,-122.31723,-122.313409,47.598329,47.599208
1_18020,530330031004023,-122.399745,-122.398389,47.680174,47.680928
1_51820,530330113001000,-122.347092,-122.334407,47.518532,47.540351
1_8530,530330090002015,-122.317225,-122.314139,47.599187,47.600013
1_50380,530330287002004,-122.325277,-122.322268,47.412427,47.416021
1_51830,530330113001000,-122.347092,-122.334407,47.518532,47.540351
1_18010,530330031004014,-122.399754,-122.398396,47.681637,47.682354
1_51834,530330112002062,-122.342183,-122.33702,47.537667,47.540351
1_64140,530330243001023,-122.234077,-122.230601,47.588032,47.589161
1_64143,530330243002003,-122.237713,-122.234837,47.586726,47.589578
1_50350,530330287001008,-122.321927,-122.32025,47.419869,47.421116
1_51800,530330113001000,-122.347092,-122.334407,47.518532,47.540351
1_18000,530330031005027,-122.399366,-122.398302,47.683084,47.684935
